[2024-06-06T15:04:10.664+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/perimetre/_doc/STIF%3ALine%3A%3AC00761%3A_STIF%3AStopPoint%3AQ%3A18669%3A [status:201 duration:0.150s]
[2024-06-06T15:04:10.828+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/perimetre/_doc/STIF%3ALine%3A%3AC01601%3A_STIF%3AStopPoint%3AQ%3A18669%3A [status:201 duration:0.162s]
[2024-06-06T15:04:11.015+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/perimetre/_doc/STIF%3ALine%3A%3AC01398%3A_STIF%3AStopPoint%3AQ%3A41699%3A [status:201 duration:0.180s]
[2024-06-06T15:04:11.237+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/perimetre/_doc/STIF%3ALine%3A%3AC01965%3A_STIF%3AStopPoint%3AQ%3A34072%3A [status:201 duration:0.216s]
[2024-06-06T15:04:11.403+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/perimetre/_doc/STIF%3ALine%3A%3AC01374%3A_STIF%3AStopPoint%3AQ%3A463072%3A [status:201 duration:0.160s]
[2024-06-06T15:04:11.565+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/perimetre/_doc/STIF%3ALine%3A%3AC01227%3A_STIF%3AStopPoint%3AQ%3A426480%3A [status:201 duration:0.154s]
[2024-06-06T15:04:11.833+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/perimetre/_doc/STIF%3ALine%3A%3AC00695%3A_STIF%3AStopPoint%3AQ%3A4261%3A [status:201 duration:0.262s]
[2024-06-06T15:04:12.255+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/perimetre/_doc/STIF%3ALine%3A%3AC02478%3A_STIF%3AStopPoint%3AQ%3A4261%3A [status:201 duration:0.413s]
[2024-06-06T15:04:12.442+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/perimetre/_doc/STIF%3ALine%3A%3AC01192%3A_STIF%3AStopPoint%3AQ%3A4261%3A [status:201 duration:0.181s]
[2024-06-06T15:04:12.610+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/perimetre/_doc/STIF%3ALine%3A%3AC00782%3A_STIF%3AStopPoint%3AQ%3A5328%3A [status:201 duration:0.161s]
[2024-06-06T15:04:12.774+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/perimetre/_doc/STIF%3ALine%3A%3AC01116%3A_STIF%3AStopPoint%3AQ%3A472849%3A [status:201 duration:0.161s]
[2024-06-06T15:04:13.091+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/perimetre/_doc/STIF%3ALine%3A%3AC01294%3A_STIF%3AStopPoint%3AQ%3A472849%3A [status:201 duration:0.312s]
[2024-06-06T15:04:13.457+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/perimetre/_doc/STIF%3ALine%3A%3AC01124%3A_STIF%3AStopPoint%3AQ%3A472849%3A [status:201 duration:0.362s]
[2024-06-06T15:04:13.697+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/perimetre/_doc/STIF%3ALine%3A%3AC02132%3A_STIF%3AStopPoint%3AQ%3A23044%3A [status:201 duration:0.233s]
[2024-06-06T15:04:14.632+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/perimetre/_doc/STIF%3ALine%3A%3AC00738%3A_STIF%3AStopPoint%3AQ%3A18327%3A [status:201 duration:0.929s]
[2024-06-06T15:04:15.313+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/perimetre/_doc/STIF%3ALine%3A%3AC01987%3A_STIF%3AStopPoint%3AQ%3A35566%3A [status:201 duration:0.677s]
[2024-06-06T15:04:15.726+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/perimetre/_doc/STIF%3ALine%3A%3AC00625%3A_STIF%3AStopPoint%3AQ%3A15422%3A [status:201 duration:0.409s]
[2024-06-06T15:04:16.059+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/perimetre/_doc/STIF%3ALine%3A%3AC00649%3A_STIF%3AStopPoint%3AQ%3A13332%3A [status:201 duration:0.330s]
[2024-06-06T15:04:16.924+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/perimetre/_doc/STIF%3ALine%3A%3AC01191%3A_STIF%3AStopPoint%3AQ%3A36706%3A [status:201 duration:0.858s]
[2024-06-06T15:04:17.828+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/perimetre/_doc/STIF%3ALine%3A%3AC01241%3A_STIF%3AStopPoint%3AQ%3A36706%3A [status:201 duration:0.897s]
[2024-06-06T15:04:18.556+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/perimetre/_doc/STIF%3ALine%3A%3AC01206%3A_STIF%3AStopPoint%3AQ%3A23259%3A [status:201 duration:0.726s]
