[2024-06-06T14:03:34.963+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/213_Cosmonautes [status:200 duration:0.231s]
[2024-06-06T14:03:35.186+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/231_Danton [status:200 duration:0.218s]
[2024-06-06T14:03:35.411+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/539_Meudon-sur-Seine [status:200 duration:0.220s]
[2024-06-06T14:03:35.677+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/461_Les%20Milons [status:200 duration:0.260s]
[2024-06-06T14:03:35.902+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/982_Brancion [status:200 duration:0.221s]
[2024-06-06T14:03:36.067+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/990_Poterne%20des%20Peupliers [status:200 duration:0.160s]
[2024-06-06T14:03:36.246+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/994_Rougemont-Chanteloup [status:200 duration:0.171s]
[2024-06-06T14:03:36.448+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/1189_Les%20Mobiles [status:200 duration:0.185s]
[2024-06-06T14:03:36.606+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/1075_Mairie%20de%20Villeneuve-la-Garenne [status:200 duration:0.148s]
[2024-06-06T14:03:36.920+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/1082_Le%20Luth [status:200 duration:0.311s]
[2024-06-06T14:03:37.086+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/1085_Pont%20de%20Bezons [status:200 duration:0.164s]
[2024-06-06T14:03:37.251+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/1094_S%C3%A9verine [status:200 duration:0.162s]
[2024-06-06T14:03:37.422+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/1111_Canal%20Saint-Denis [status:200 duration:0.166s]
[2024-06-06T14:03:37.593+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/1121_Les%20Flanades [status:200 duration:0.165s]
[2024-06-06T14:03:37.769+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/1124_Jacques%20Pr%C3%A9vert [status:200 duration:0.173s]
[2024-06-06T14:03:37.955+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/1146_Bretagne [status:200 duration:0.178s]
[2024-06-06T14:03:38.124+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/1148_Porte%20de%20Thiais [status:200 duration:0.160s]
[2024-06-06T14:03:38.290+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/1151_Porte%20de%20Rungis [status:200 duration:0.164s]
[2024-06-06T14:03:38.450+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/1152_Saarinen [status:200 duration:0.157s]
[2024-06-06T14:03:38.627+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/1153_Robert%20Schuman [status:200 duration:0.170s]
[2024-06-06T14:03:38.788+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/1175_Louvois [status:200 duration:0.159s]
